,timestamp,tag,type,description
0,2024-05-01 01:36:50,AIR001_3,H,REACT FEED C CONC HIGH ALM
1,2024-05-01 01:37:30,AIR003_3,H,PURGE C CONC HIGH ALM
2,2024-05-01 02:03:20,AIR001_1,L,REACT FEED A CONC LOW ALM
3,2024-05-01 02:09:10,AIR003_1,L,PURGE A CONC LOW ALM
4,2024-05-01 03:02:40,AIR002_2,H,SEP UFLW E CONC HIGH ALM
5,2024-05-01 03:10:40,AIR001_6,L,REACT FEED F CONC LOW ALM
6,2024-05-01 03:20:30,AIR001_2,L,REACT FEED B CONC LOW ALM
7,2024-05-01 03:28:10,AIR001_5,H,REACT FEED E CONC HIGH ALM
8,2024-05-01 03:39:50,FIR123,H,FLW COND CW HIGH ALM
9,2024-05-01 04:21:10,FIR100,H,FLW FEED A HIGH ALM
10,2024-05-01 04:30:20,FIR115,L,FLW PURGE LOW ALM
11,2024-05-01 04:44:30,V160,H,VLV POS FEED A HIGH ALM
12,2024-05-01 04:57:10,AIR003_8,L,PURGE H CONC LOW ALM
13,2024-05-01 05:00:30,V167,L,VLV POS PURGE LOW ALM
14,2024-05-01 05:31:00,AIR003_1,L NR,PURGE A CONC LOW ALM RECOVERED
15,2024-05-01 05:48:50,AIR003_8,L NR,PURGE H CONC LOW ALM RECOVERED
16,2024-05-01 05:54:10,AIR001_1,L NR,REACT FEED A CONC LOW ALM RECOVERED
17,2024-05-01 06:00:50,AIR001_2,L NR,REACT FEED B CONC LOW ALM RECOVERED
18,2024-05-01 06:12:40,AIR001_3,H NR,REACT FEED C CONC HIGH ALM RECOVERED
19,2024-05-01 06:13:20,AIR003_3,H NR,PURGE C CONC HIGH ALM RECOVERED
20,2024-05-01 06:48:30,AIR001_6,L NR,REACT FEED F CONC LOW ALM RECOVERED
21,2024-05-01 06:51:00,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
22,2024-05-01 07:04:10,AIR003_3,L,PURGE C CONC LOW ALM
23,2024-05-01 07:08:50,V160,H NR,VLV POS FEED A HIGH ALM RECOVERED
24,2024-05-01 07:09:30,AIR001_3,L,REACT FEED C CONC LOW ALM
25,2024-05-01 07:36:10,FIR100,H NR,FLW FEED A HIGH ALM RECOVERED
26,2024-05-01 07:40:10,AIR001_5,H NR,REACT FEED E CONC HIGH ALM RECOVERED
27,2024-05-01 07:43:50,V167,L NR,VLV POS PURGE LOW ALM RECOVERED
28,2024-05-01 07:54:50,FIR115,L NR,FLW PURGE LOW ALM RECOVERED
29,2024-05-01 09:30:50,AIR002_2,H NR,SEP UFLW E CONC HIGH ALM RECOVERED
30,2024-05-01 10:51:20,AIR001_1,H,REACT FEED A CONC HIGH ALM
